Month,Python: (Worldwide),JavaScript: (Worldwide),Java: (Worldwide)
2004-01,6,35,90
2004-02,6,37,98
2004-03,6,34,100
2004-04,6,36,92
2004-05,6,33,91
2004-06,5,36,90
2004-07,6,34,87
2004-08,6,33,86
2004-09,6,33,87
2004-10,5,31,92
2004-11,5,32,86
2004-12,5,29,88
2005-01,5,28,82
2005-02,6,31,85
2005-03,4,29,82
2005-04,5,28,81
2005-05,5,29,79
2005-06,5,27,77
2005-07,5,29,72
2005-08,6,29,72
2005-09,5,27,73
2005-10,6,26,71
2005-11,5,27,71
2005-12,5,25,68
2006-01,5,25,66
2006-02,6,25,68
2006-03,5,27,69
2006-04,5,25,62
2006-05,5,25,65
2006-06,5,25,62
2006-07,5,24,60
2006-08,5,24,60
2006-09,6,24,60
2006-10,5,23,61
2006-11,5,23,63
2006-12,5,20,56
2007-01,5,21,56
2007-02,5,22,58
2007-03,5,23,61
2007-04,5,21,57
2007-05,5,22,56
2007-06,5,22,56
2007-07,5,22,53
2007-08,5,22,52
2007-09,5,20,53
2007-10,5,21,56
2007-11,6,21,55
2007-12,5,20,48
2008-01,5,19,48
2008-02,5,19,47
2008-03,5,20,49
2008-04,5,20,50
2008-05,5,18,47
2008-06,5,19,46
2008-07,5,20,45
2008-08,5,18,43
2008-09,5,19,47
2008-10,5,19,48
2008-11,5,18,46
2008-12,5,17,44
2009-01,5,16,41
2009-02,5,18,44
2009-03,5,18,47
2009-04,5,17,43
2009-05,5,17,42
2009-06,5,18,43
2009-07,5,18,42
2009-08,5,17,42
2009-09,5,16,38
2009-10,5,16,41
2009-11,5,16,42
2009-12,5,15,39
2010-01,5,15,38
2010-02,5,16,39
2010-03,5,16,40
2010-04,5,15,41
2010-05,5,15,39
2010-06,5,15,36
2010-07,5,14,35
2010-08,4,14,36
2010-09,5,14,36
2010-10,5,13,37
2010-11,5,13,36
2010-12,5,13,34
2011-01,5,13,34
2011-02,5,13,35
2011-03,5,14,37
2011-04,5,13,35
2011-05,5,13,34
2011-06,5,13,34
2011-07,5,12,32
2011-08,5,13,35
2011-09,5,13,36
2011-10,5,12,35
2011-11,5,13,36
2011-12,5,12,35
2012-01,5,13,33
2012-02,5,12,35
2012-03,5,13,34
2012-04,5,13,34
2012-05,5,12,33
2012-06,5,12,31
2012-07,5,13,36
2012-08,5,12,34
2012-09,5,12,36
2012-10,6,12,35
2012-11,5,12,34
2012-12,5,11,31
2013-01,5,12,37
2013-02,6,13,37
2013-03,6,12,36
2013-04,6,12,36
2013-05,6,12,35
2013-06,6,13,34
2013-07,6,12,35
2013-08,6,12,32
2013-09,6,12,33
2013-10,6,13,38
2013-11,6,13,34
2013-12,6,12,33
2014-01,6,13,39
2014-02,6,13,36
2014-03,6,13,34
2014-04,7,13,35
2014-05,6,13,33
2014-06,6,13,32
2014-07,6,13,34
2014-08,6,12,31
2014-09,7,12,34
2014-10,7,12,33
2014-11,7,12,33
2014-12,6,12,30
2015-01,6,12,30
2015-02,7,13,33
2015-03,7,13,32
2015-04,7,13,33
2015-05,7,12,30
2015-06,7,13,31
2015-07,7,13,29
2015-08,7,12,27
2015-09,8,13,28
2015-10,8,13,29
2015-11,8,12,27
2015-12,7,12,25
2016-01,8,12,23
2016-02,9,14,25
2016-03,9,14,25
2016-04,9,13,25
2016-05,9,13,23
2016-06,10,14,24
2016-07,9,13,22
2016-08,9,13,21
2016-09,10,13,22
2016-10,10,14,22
2016-11,11,14,23
2016-12,10,13,21
2017-01,10,13,21
2017-02,11,14,22
2017-03,13,15,23
2017-04,12,14,21
2017-05,12,14,20
2017-06,12,14,19
2017-07,11,13,19
2017-08,12,14,18
2017-09,13,13,20
2017-10,13,14,20
2017-11,14,14,21
2017-12,13,13,17
2018-01,13,14,18
2018-02,14,14,19
2018-03,14,14,19
2018-04,14,14,18
2018-05,14,14,18
2018-06,14,13,17
2018-07,14,12,17
2018-08,14,13,16
2018-09,15,12,17
2018-10,16,13,18
2018-11,15,13,17
2018-12,13,11,15
2019-01,15,12,16
2019-02,16,13,16
2019-03,17,13,17
2019-04,16,13,16
2019-05,16,12,16
2019-06,16,13,15
2019-07,17,13,15
2019-08,15,13,15
2019-09,18,13,16
2019-10,18,13,16
2019-11,18,12,16
2019-12,16,12,13
2020-01,17,12,15
2020-02,18,12,15
2020-03,17,12,14
2020-04,18,12,14
2020-05,18,12,13
2020-06,18,13,13
2020-07,18,13,13
2020-08,17,11,13
2020-09,18,12,14
2020-10,15,10,12
2020-11,14,8,11
2020-12,14,9,10
2021-01,14,9,10
2021-02,14,9,11
2021-03,16,10,12
2021-04,15,10,12
2021-05,15,9,11
2021-06,15,10,11
2021-07,15,10,11
2021-08,13,9,10
2021-09,16,10,12
2021-10,17,10,12
2021-11,18,11,11
2021-12,17,11,12
2022-01,22,14,14
2022-02,25,16,17
2022-03,27,16,18
2022-04,26,16,16
2022-05,24,16,15
2022-06,23,16,15
2022-07,22,16,15
2022-08,23,16,14
2022-09,24,15,16
2022-10,26,15,14
2022-11,26,16,16
2022-12,22,15,14
2023-01,23,15,14
2023-02,25,17,15
2023-03,25,15,15
2023-04,22,13,13
2023-05,21,14,12
2023-06,19,13,13
