Category: All categories

Country,JavaScript: (01/01/2004 - 23/06/2023)
North Korea,
British Indian Ocean Territory,
Madagascar,
South Korea,100
Armenia,94
China,88
St Helena,
Belarus,61
Nepal,61
Israel,55
India,55
Hong Kong,55
Cuba,
Estonia,55
Singapore,50
Iceland,
Sri Lanka,50
Tunisia,50
Ukraine,50
North Macedonia,
Pakistan,44
Rwanda,
Latvia,44
Luxembourg,
Åland Islands,
Mongolia,
Gibraltar,
Czechia,44
Myanmar (Burma),
Bangladesh,38
Moldova,
Bulgaria,38
Malta,
Taiwan,38
Cameroon,
San Marino,
Benin,
Sweden,38
Cambodia,
Mauritius,
Finland,38
Togo,
New Zealand,33
Japan,33
Kosovo,
Switzerland,33
Monaco,
Georgia,
Russia,33
Portugal,33
Netherlands,33
Norway,33
Serbia,33
Lithuania,33
Ethiopia,
Slovenia,33
Uzbekistan,
Denmark,33
Philippines,33
Canada,33
Lebanon,
Faroe Islands,
Romania,33
Costa Rica,33
Albania,
Hungary,27
Macao,
Liechtenstein,
Nigeria,27
Bhutan,
Maldives,
Germany,27
Austria,27
Ireland,27
United States,27
Belgium,27
Kenya,27
Cyprus,
Cape Verde,
Slovakia,27
Australia,27
Uruguay,
Kyrgyzstan,
France,27
Poland,27
Morocco,27
Vietnam,27
United Kingdom,27
Senegal,
Burundi,
Bosnia & Herzegovina,
Andorra,
Croatia,22
Côte d’Ivoire,
Spain,22
South Africa,22
El Salvador,
Ghana,
Malawi,
Isle of Man,
Montenegro,
Palestine,
Laos,
Colombia,22
Jamaica,
Somalia,
Jersey,
Jordan,
Uganda,
Barbados,
Malaysia,22
United Arab Emirates,22
Azerbaijan,
Congo - Brazzaville,
Zimbabwe,
Greece,16
Nicaragua,
Lesotho,
Chile,16
Argentina,16
Gambia,
New Caledonia,
Guernsey,
Guatemala,
Angola,
Bolivia,
Mexico,16
Kazakhstan,16
Afghanistan,
Italy,16
French Polynesia,
Botswana,
Brazil,16
Belize,
Eswatini,
Egypt,16
Peru,16
Honduras,
Tajikistan,
Cayman Islands,
Dominican Republic,
Bahrain,
Western Sahara,
Curaçao,
Ecuador,16
Réunion,
Panama,
Trinidad & Tobago,
Congo - Kinshasa,
Papua New Guinea,
Iran,16
Indonesia,16
Thailand,16
Gabon,
Antigua & Barbuda,
Venezuela,16
US Virgin Islands,
Mauritania,
St Kitts & Nevis,
Tanzania,
Djibouti,
Dominica,
Mozambique,
Haiti,
Paraguay,
St Vincent & the Grenadines,
Grenada,
Bermuda,
St Lucia,
Syria,
Qatar,
Namibia,
Brunei,
Fiji,
Suriname,
Burkina Faso,
Niger,
Turkmenistan,
Algeria,11
St Barthélemy,
Guadeloupe,
Guyana,
Aruba,
Zambia,
Puerto Rico,
Caribbean Netherlands,
Türkiye,11
Martinique,
Liberia,
Oman,
Sierra Leone,
Sint Maarten,
Guinea,
British Virgin Islands,
Sudan,
Bahamas,
Kuwait,
Guam,
Mali,
Yemen,
Chad,
Timor-Leste,
French Guiana,
Saudi Arabia,5
Libya,
South Sudan,
Iraq,
French Southern Territories,
South Georgia & South Sandwich Islands,
Norfolk Island,
Eritrea,
São Tomé & Príncipe,
Kiribati,
Palau,
Cook Islands,
Svalbard & Jan Mayen,
Vanuatu,
Tonga,
Micronesia,
Seychelles,
Montserrat,
Northern Mariana Islands,
Greenland,
Comoros,
St Pierre & Miquelon,
Marshall Islands,
Samoa,
Anguilla,
St Martin,
Central African Republic,
Equatorial Guinea,
Turks & Caicos Islands,
Mayotte,
Solomon Islands,
Guinea-Bissau,
Falkland Islands (Islas Malvinas),
American Samoa,
Antarctica,
Bouvet Island,
Cocos (Keeling) Islands,
Christmas Island,
Heard & McDonald Islands,
Niue,
Nauru,
Pitcairn Islands,
Tokelau,
Tuvalu,
US Outlying Islands,
Vatican City,
Wallis & Futuna,
